KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
859;Ajoneuvo- ja kuljetustekniikka, pk (Autoalan perustutkinto);Fordons- och transportteknik, gr (Grundexamen inom bilbranschen);Ajoneuvo- ja kuljetustekniikka, pk;Fordons- och transportteknik, gr;01.01.1990;
280;Asesepäntyö, pk (Käsi- ja taideteollisuusalan perustutkinto);Vapensmide, gr (Grundexamen inom hantverk och konstindustri);Asesepäntyö, pk;Vapensmide, gr;01.01.1990;
486;Ateljee- ja asusteompelu, pk (Käsi- ja taideteollisuusalan perustutkinto);Ateljé- och asseccoarssömnad, gr (Grundexamen inom hantverk och konstindustri);Ateljee- ja asusteompelu, pk;Ateljé- och asseccoarsömnad, gr;15.05.2009;
452;Audiovisuaalisen viestinnän perustutkinto, pk;Grundexamen i audiovisuell kommunikation, gr;Audiovisuaalisen viestinnän pt, pk;Grex i audiovisuell kommunikation, gr;01.01.1990;
107;Autoalan perustutkinto, pk;Grundexamen inom bilbranschen, gr;Autoalan perustutkinto, pk;Grex inom bilbranschen, gr;01.01.2005;
423;Digimedia, pk (Audiovisuaalisen viestinnän perustutkinto);Digimedia, gr (Grundexamen i audiovisuell kommunikation);Digimedia, pk (Audiovisu. viestinnän pt);Digimedia, gr;01.09.2008;
866;Elintarvikealan perustutkinto, pk;Grundexamen inom livsmedelsbranschen, gr;Elintarvikealan perustutkinto, pk;Grex inom livsmedelsbranschen, gr;01.01.1990;
434;Elokuva- ja tv-alan tuotanto-assistentti, pk (Audiovisuaalisen viestinnän perustutkinto);Produktionsassistent inom film- och tv-branschen, gr (Grundexamen i audiovisuell kommunikation);Elokuva- ja tv-alan tuot.assistentti, pk;Prod.as. inom film- och tv-branschen, gr;03.09.2008;
514;Eläintenhoidon koulutusohjelma, pk (Maatalousalan perustutkinto);Utbildningsprogrammet för djurskötsel, gr (Grundexamen inom lantbruksbranschen);Eläintenhoidon ko, pk (maatalousalan pt);Up för djurskötsel, gr;01.01.1990;
770;Ensihoidon koulutusohjelma, pk (Sosiaali- ja terveysalan perustutkinto);Utbildningsprogrammet för akutvård, gr (Grundexamen inom social- och hälsovårdsbranschen);Ensihoidon koulutusohjelma, pk;Up för akutvård;01.01.1990;
282;Graafinen suunnittelu, pk (Audiovisuaalisen viestinnän perustutkinto);Grafisk planering, gr (Grundexamen i audiovisuell kommunikation);Graafinen suunnittelu, pk;Grafisk planering, gr;18.08.2008;
029;Graafinen suunnittelu, pk (Kuvallisen ilmaisun perustutkinto);Grafisk planering, gr (Grundexamen i visuell framställning);Graafinen suunnittelu, pk;Grafisk planering, gr;01.01.2012;
450;Graafisen suunnittelun koulutusohjelma, pk (Kuvallisen ilmaisun perustutkinto);Utbildningsprogrammet för grafisk palanering, gr (Grundexamen i visuell framställning);Graafisen suunnittelun ko, pk;Up för grafisk planering, gr;12.05.2009;
222;Hammastekniikan perustutkinto, pk;Grundexamen i tandteknik, gr;Hammastekniikan perustutkinto, pk;Grex i tandteknik, gr;01.01.1990;
215;Hevostalouden perustutkinto, pk;Grundexamen inom hästhushållning, gr;Hevostalouden pt, pk;Grex inom hästhushållning, gr;03.07.2008;
038;Hienopuuseppä, pk (Käsi- ja taideteollisuusalan perustutkinto);Finsnickare, gr (Grundexamen inom hantverk och konstindustri);Hienopuuseppä, pk;Finsnickare, gr;01.01.2012;
016;Hius- sekä kauneudenhoitoalan koulutus, pk;Hår- samt skönhetsbranschen, gr;Hius- sekä kauneudenhoitoalan koul., pk;Hår- samt skönhetsbranschen, gr;01.01.2013;
163;Hiusalan perustutkinto, pk;Grundexamen inom hårbranschen, gr;Hiusalan perustutkinto, pk;Grex inom hårbranschen, gr;01.01.1990;
296;Hopeasepänala, pk (Käsi- ja taideteollisuusalan perustutkinto);Silversmide, gr (Grundexamen inom hantverk och konstindustri);Hopeasepänala, pk;Silversmide, gr;01.01.1990;
020;Hotelli-, ravintola- ja catering- sekä elintarvikeala, pk;Hotell-, restaurang- och catering- samt livsmedelbranschen, gr;Hot.-, rav.-, catering- ja elintarv., pk;Hot.-, rest.-, cater.- och livsm.br., gr;01.01.2011;
473;Hotelli-, ravintola- ja catering-alan perustutkinto, pk;Grundexamen inom hotell-, restaurang- och cateringbranschen, gr;Hotelli-, rav. ja catering-alan pt, pk;Grex inom hot., rest. o. cateringbr., gr;13.05.2009;
477;Huonekalupuuseppä, pk (Käsi- ja taideteollisuusalan perustutkinto);Möbelsnickare, gr (Grundexamen inom hantverk och konstindustri);Huonekalupuuseppä, pk;Möbelsnickare, gr;15.05.2009;
180;Jalkinealan koulutusohjelma, pk (Tekstiili- ja vaatetusalan perustutkinto);Utbildningsprogrammet för skobranschen, gr (Grundexamen inom textil- och beklädnadsbranschen);Jalkinealan ko. pk;Up för skobranschen, gr;03.07.2008;
125;Jazz- ja populaaritanssi, pk (Tanssialan perustutkinto);Jazz- och populärdans, gr (Grundexamen i dans);Jazz- ja populaaritanssi, pk;Jazz- och populärdans, gr;30.06.2008;
101;Kaivosalan perustutkinto, pk;Grundexamen inom gruvbranschen, gr;Kaivosalan perustutkinto, pk;Grex inom gruvbranschen, gr;03.07.2008;
852;Kalatalouden perustutkinto, pk;Grundexamen i fiskeri, gr;Kalatalouden perustutkinto, pk;Grex i fiskeri, gr;01.01.1990;
778;Kansainvälinen liiketalouden perustutkinto, pk;Internationell grundexamen inom företagsekonomi, gr;Kansainvälinen liiketalouden pt, pk;Internationell gr.ex.i.företagsekon, gr;01.01.1990;
977;Kansainvälispainotteinen kotitalousopetus, pk;Internationell utbildning i huslig ekonomi, gr;Kansainvälispainotteinen kotital.op, pk;Intern. utb. i husl. ekon., gr;01.01.1990;
122;Kansantanssi, pk (Tanssialan perustutkinto);Folkdans, gr (Grundexamen i dans);Kansantanssi, pk;Folkdans, gr;30.06.2008;
284;Kauneudenhoitoalan perustutkinto, pk;Grundexamen inom skönhetsbranschen, gr;Kauneudenhoitoalan perustutkinto, pk;Grex inom skönhetsbranschen, gr;01.01.1990;
194;Kello- ja mikromekaniikan perustutkinto, pk;Grundexamen i ur- och mikromekanik, gr;Kello- ja mikromekaniikan pt, pk;Grex i ur- och mikromekanik, gr;01.01.1990;
385;Keramiikka-ala, pk (Käsi- ja taideteollisuusalan perustutkinto);Keramik, gr (Grundexamen inom hantverk och konstindustri);Keramiikka-ala, pk;Keramik, gr;01.01.1990;
597;Kiinteistöpalvelujen perustutkinto, pk;Grundexamen inom fastighetsservice, gr;Kiinteistöpalvelujen pt, pk;Grex inom fastighetsservice, gr;17.08.2009;
524;Kirjansidonta, pk (Käsi- ja taideteollisuusalan perustutkinto);Bokbinderi, gr (Grundexamen inom hantverk och konstindustri);Kirjansidonta, pk;Bokbinderi, gr;01.01.1990;
