KOODIARVO;KOODIURI;NIMI_FI
7;hakukohteet_007;Puu ja muotoilu, pk (Käsi- ja taideteollisuusalan perustutkinto)
8;hakukohteet_008;Puu ja muotoilu, yo (Käsi- ja taideteollisuusalan perustutkinto)
112;hakukohteet_112;Muovi- ja kumitekniikan perustutkinto, pk
114;hakukohteet_114;Liiketalouden perustutkinto, pk
149;hakukohteet_149;Maatalousalan perustutkinto, pk
157;hakukohteet_157;Tuotteen suunnittelun ja valmistuksen koulutusohjelma, pk (Käsi- ja taideteollisuusalan perustutkinto)
158;hakukohteet_158;Tuotteen suunnittelun ja valmistuksen koulutusohjelma, yo (Käsi- ja taideteollisuusalan perustutkinto)
174;hakukohteet_174;Luonto- ja ympäristöalan perustutkinto, pk
186;hakukohteet_186;Kotitalousopetus, pk
192;hakukohteet_192;Sähkö- ja automaatiotekniikan perustutkinto, yo
203;hakukohteet_203;Muovi- ja kumitekniikan perustutkinto, yo
206;hakukohteet_206;Liiketalouden perustutkinto, yo
229;hakukohteet_229;Metsäalan perustutkinto, pk
255;hakukohteet_255;Autoalan perustutkinto, yo
257;hakukohteet_257;Lapsi- ja perhetyön perustutkinto, yo
261;hakukohteet_261;Metalliala, pk (Käsi- ja taideteollisuusalan perustutkinto)
273;hakukohteet_273;Metalliala, yo (Käsi- ja taideteollisuusalan perustutkinto)
278;hakukohteet_278;Luonto- ja ympäristöalan perustutkinto, yo
327;hakukohteet_327;Mallinrakennus, yo (Käsi- ja taideteollisuusalan perustutkinto)
354;hakukohteet_354;Lasiala, pk (Käsi- ja taideteollisuusalan perustutkinto)
379;hakukohteet_379;Muotoilu ja mallintaminen, pk (Käsi- ja taideteollisuusalan perustutkinto)
383;hakukohteet_383;Lasiala, yo (Käsi- ja taideteollisuusalan perustutkinto)
384;hakukohteet_384;Muotoilu ja mallintaminen, yo (Käsi- ja taideteollisuusalan perustutkinto)
396;hakukohteet_396;Soitinrakennusala, pk (Käsi- ja taideteollisuusalan perustutkinto)
406;hakukohteet_406;Mallinrakennus, pk (Käsi- ja taideteollisuusalan perustutkinto)
441;hakukohteet_441;Matkailualan perustutkinto, yo
452;hakukohteet_452;Audiovisuaalisen viestinnän perustutkinto, pk
460;hakukohteet_460;Musiikin koulutusohjelma, pk (Musiikkialan perustutkinto)
462;hakukohteet_462;Musiikin koulutusohjelma, yo (Musiikkialan perustutkinto)
473;hakukohteet_473;Hotelli-, ravintola- ja catering-alan perustutkinto, pk
474;hakukohteet_474;Hotelli-, ravintola- ja catering-alan perustutkinto, yo
475;hakukohteet_475;Kotityö- ja puhdistuspalvelujen perustutkinto, pk
476;hakukohteet_476;Kotityö- ja puhdistuspalvelujen perustutkinto, yo
480;hakukohteet_480;Hiusalan perustutkinto, yo
485;hakukohteet_485;Sisustustekstiilit, yo (Käsi- ja taideteollisuusalan perustutkinto)
490;hakukohteet_490;Kotitalousopetus, yo
497;hakukohteet_497;Kuvallisen ilmaisun perustutkinto, pk
511;hakukohteet_511;Audiovisuaalisen viestinnän perustutkinto, yo
514;hakukohteet_514;Eläintenhoidon koulutusohjelma, pk (Maatalousalan perustutkinto)
516;hakukohteet_516;Tieto- ja viestintätekniikan perustutkinto, yo
523;hakukohteet_523;Kuvallisen ilmaisun perustutkinto, yo
550;hakukohteet_550;Tekstiiliala, yo (Käsi- ja taideteollisuusalan perustutkinto)
564;hakukohteet_564;Soitinrakennusala, yo (Käsi- ja taideteollisuusalan perustutkinto)
565;hakukohteet_565;Vaatetusala, yo (Käsi- ja taideteollisuusalan perustutkinto)
578;hakukohteet_578;Veneenrakennuksen perustutkinto, pk
582;hakukohteet_582;Kansainvälispainotteinen kotitalousopetus, yo
583;hakukohteet_583;Laboratorioalan perustutkinto, pk
584;hakukohteet_584;Laboratorioalan perustutkinto, yo
592;hakukohteet_592;Suunnitteluassistentin perustutkinto, pk
610;hakukohteet_610;Äänituotanto, pk (Audiovisuaalisen viestinnän perustutkinto)
611;hakukohteet_611;Äänituotanto, yo (Audiovisuaalisen viestinnän perustutkinto)
653;hakukohteet_653;Verhoilu- ja sisustusalan perustutkinto, yo
654;hakukohteet_654;Veneenrakennuksen perustutkinto, yo
668;hakukohteet_668;Suunnitteluassistentin perustutkinto, yo
857;hakukohteet_857;Kone- ja metallialan perustutkinto, pk
863;hakukohteet_863;Puualan perustutkinto, pk
864;hakukohteet_864;Pintakäsittelyalan perustutkinto, pk
873;hakukohteet_873;Sosiaali- ja terveysalan perustutkinto, pk
875;hakukohteet_875;Käsi- ja taideteollisuusalan perustutkinto, pk
885;hakukohteet_885;Kone- ja metallialan perustutkinto, yo
892;hakukohteet_892;Pintakäsittelyalan perustutkinto, yo
900;hakukohteet_900;Sosiaali- ja terveysalan perustutkinto, yo
977;hakukohteet_977;Kansainvälispainotteinen kotitalousopetus, pk
