KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
000;Lukio;Gymnasium;Lukio;Gymnasium;01.01.1990;
517;Lukio ja musiikkiopiston huilun D-tason tutkinto;Gymnasium och D-nivå i flöjt i musikinstitut;Lukio ja huilun D-tason tutkinto;Gymnasium och D-nivås examen i flöjt;01.01.1990;
561;Lukion A-englannin kielen linja;Gymnaisets linje för A-engelska språket;Lukion A-englannin kielen linja;Gymnasiets linje för A-engelska språket;01.12.2009;
555;Lukion A-ranskan kielen linja;Gymnasiets linje för A-franska språket;Lukion A-ranskan kielen linja;Gymnasiets linje för A-franska språket;01.12.2009;
556;Lukion A-saksan kielen linja;Gymnasiets linje för A-tyska språket;Lukion A-saksan kielen linja;Gymnasiets linje för A-tyska språket;01.12.2009;
560;Lukion A-venäjän kielen linja;Gymnasiets linje för A-ryska språket;Lukion A-venäjän kielen linja;Gymnasiets linje för A-ryska språket;01.12.2009;
023;Lukion B3-venäjän kielen linja;Gymnasiet språklinje, B3-ryska;Lukion B3-venäjän kielen linja;Gymnasiet språklinje, B3-ryska;01.01.2011;
834;Lukion bändilinja;Gymnasiets orkesterlinje;Lukion bändilinja;Gymnasiets orkesterlinje;01.01.1990;
010;Lukion eläinlääketieteellinen linja;Gymnasiets veterinärmedicinska linje;Lukion eläinlääketieteellinen linja;Gymnasiets veterinärmedicinska linje;01.01.2013;
828;Lukion englannin kielen ja kulttuurien kohtaamisen linja;Gymnasiets linje för engelska språket och möte av kulturer;Lukion engl. kielen ja kult. koht. linja;Gymnasium o. engelska/möte av kulturer;01.01.1990;
833;Lukion englanninkielinen linja;Gymnasiets engelskspråkiga linje;Lukion englanninkielinen linja;Gymnasiets engelskspråkiga linje;01.01.1990;
534;Lukion esittävän taiteen linja;Gymnasiets linje för scenkonst;Lukion esittävän taiteen linja;Gymnasiets linje för scenkonst;01.01.1990;
816;Lukion eurolinja;Gymnasiets eurolinje;Lukion eurolinja;Gymnasiets eurolinje;01.01.1990;
501;Lukion Eurooppalinja;Gymnasiets Eurooppalinje;Lukion Eurooppalinja;Gymnasiets Eurooppalinje;01.01.1990;
843;Lukion golflinja;Gymnasiets golflinje;Lukion golflinja;Gymnasiets golflinje;01.01.1990;
991;Lukion hevoslinja;Gymnasiets linje för hästskötsel;Lukion hevoslinja;Gymnasiets linje för hästskötsel;01.12.2011;
